CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
STOLEN VEHICLE,03/22/2020 07:24:00 PM,20-907533,ATTEMPT VEHICLE THEFT-AUTO,32X,1400 TUCKER ST,Oakland,CA,"1400 TUCKER ST
Oakland, CA
(37.737558, -122.165351)"
VANDALISM,02/09/2020 02:05:00 AM,20-905625,VANDALISM,12X,4000 BROADWAY,Oakland,CA,"4000 BROADWAY
Oakland, CA
(37.827697, -122.256531)"
PETTY THEFT,03/26/2020 12:00:00 AM,20-017201,THEFT,29X,3300 62ND AV,Oakland,CA,"3300 62ND AV
Oakland, CA
(37.775026, -122.180898)"
THREATS,05/10/2020 12:00:00 AM,20-024785,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,32X,900 107TH AV,Oakland,CA,"900 107TH AV
Oakland, CA
(37.734559, -122.173278)"
RECOVERED O/S STOLEN,03/12/2020 03:44:00 PM,20-014094,VEHICLE THEFT - AUTO,30X,7100 HOLLY ST,Oakland,CA,"7100 HOLLY ST
Oakland, CA
(37.763243, -122.184047)"
PETTY THEFT,04/17/2020 02:45:00 PM,20-908812,THEFT,25Y,4100 MAYNARD AV,Oakland,CA,"4100 MAYNARD AV
Oakland, CA
(37.772882, -122.156527)"
,03/11/2020 07:00:00 PM,20-014506,THEFT,24Y,3800 ALLENDALE AV,Oakland,CA,"3800 ALLENDALE AV
Oakland, CA
(37.786246, -122.205722)"
FELONY ASSAULT,03/26/2020 08:16:00 PM,20-016341,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,26Y,7100 SPENCER ST,Oakland,CA,"7100 SPENCER ST
Oakland, CA
(37.756616, -122.193439)"
,05/05/2020 10:00:00 PM,20-910388,THEFT,24Y,2500 HUMBOLDT AVE,Oakland,CA,"2500 HUMBOLDT AVE
Oakland, CA
(37.788842, -122.212538)"
RECOVERED O/S STOLEN,05/04/2020 09:12:00 PM,20-022451,POSS STOLEN VEH/VES/ETC,20X,1500 23RD AV,Oakland,CA,"1500 23RD AV
Oakland, CA
(37.784234, -122.235151)"
STOLEN AND RECOVERED VEHICLE,04/27/2020 10:45:00 PM,20-021339,VEHICLE THEFT - AUTO,05X,1600 MANDELA PKWY,Oakland,CA,"1600 MANDELA PKWY
Oakland, CA
(37.812509, -122.290692)"
ROBBERY,04/30/2020 05:30:00 PM,20-021816,CONSPIRACY:COMMIT CRIME,20X,2700 E 12TH ST,Oakland,CA,"2700 E 12TH ST
Oakland, CA
(37.779355, -122.231977)"
WEAPONS,04/12/2020 01:25:00 PM,20-018883,CARRY LOADED FIREARM WITH INTENT TO COMMIT A FELONY,26Y,1300 65TH AV,Oakland,CA,"1300 65TH AV
Oakland, CA
(37.761958, -122.195142)"
,05/23/2020 12:55:00 PM,20-025542,VANDALISM,03X,200 10TH ST,Oakland,CA,"200 10TH ST
Oakland, CA
(37.799236, -122.26697)"
HOMICIDE,05/05/2020 04:49:00 PM,20-022619,SC UNEXPLAINED DEATH,35X,9400 MACARTHUR BLVD,Oakland,CA,"9400 MACARTHUR BLVD
Oakland, CA
(37.752905, -122.160314)"
,04/06/2020 01:15:00 PM,20-017971,ROBBERY-FIREARM,21X,2500 E 28TH ST,Oakland,CA,"2500 E 28TH ST
Oakland, CA
(37.794113, -122.223223)"
STOLEN VEHICLE,05/10/2020 11:30:00 PM,20-023479,POSSESS/ETC BURGLARY TOOLS,07X,1000 24TH ST,Oakland,CA,"1000 24TH ST
Oakland, CA
(37.816472, -122.28021)"
RECOVERED O/S STOLEN,04/21/2020 09:44:00 AM,20-020224,VEHICLE THEFT - AUTO,35X,8300 DOWLING ST,Oakland,CA,"8300 DOWLING ST
Oakland, CA
(37.759826, -122.167937)"
STOLEN VEHICLE,04/18/2020 10:05:00 PM,20-908810,ATTEMPT VEHICLE THEFT-AUTO,29X,3900 DELMONT AV,Oakland,CA,"3900 DELMONT AV
Oakland, CA
(37.776395, -122.170859)"
VANDALISM,04/20/2020 11:30:00 AM,20-908907,VANDALISM,19X,1900 INTERNATIONAL BLVD,Oakland,CA,"1900 INTERNATIONAL BLVD
Oakland, CA
(37.786451, -122.241035)"
DOMESTIC VIOLENCE,03/29/2020 12:00:00 PM,20-016832,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,35Y,10900 CLIFFLAND AV,Oakland,CA,"10900 CLIFFLAND AV
Oakland, CA
(37.750275, -122.132115)"
STOLEN VEHICLE,02/15/2020 12:00:00 PM,20-009358,VEHICLE THEFT - AUTO,32X,1400 103RD AV,Oakland,CA,"1400 103RD AV
Oakland, CA
(37.740951, -122.167841)"
MISDEMEANOR ASSAULT,04/12/2020 04:59:00 PM,20-018904,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,07X,2300 SAN PABLO AV,Oakland,CA,"2300 SAN PABLO AV
Oakland, CA
(37.813591, -122.274188)"
ROBBERY,03/27/2020 04:49:00 AM,20-016374,ROBBERY-KNIFE OR CUTTING INSTRUMENT,06X,2300 MARTIN LUTHER KING JR W,Oakland,CA,"2300 MARTIN LUTHER KING JR W
Oakland, CA"
VANDALISM,02/17/2020 09:00:00 PM,20-009832,VANDALISM,22X,3400 DIMOND AV,Oakland,CA,"3400 DIMOND AV
Oakland, CA
(37.799693, -122.217629)"
STOLEN VEHICLE,03/15/2020 12:30:00 PM,20-014627,VEHICLE THEFT - AUTO,19X,400 E 11TH ST,Oakland,CA,"400 E 11TH ST
Oakland, CA
(37.794931, -122.256353)"
,03/11/2020 10:50:00 AM,20-013971,THEFT,13Y,12000 BROADWAY TER,Oakland,CA,"12000 BROADWAY TER
Oakland, CA
(37.840915, -122.215295)"
STOLEN VEHICLE,04/02/2020 10:11:00 PM,20-017466,VEHICLE THEFT - AUTO,02X,1300 7TH ST,Oakland,CA,"1300 7TH ST
Oakland, CA
(37.804641, -122.291652)"
PETTY THEFT,04/23/2020 07:07:00 AM,20-020547,TRESPASS:OCCUPY PROPERTY W/O CONSENT,06X,600 24TH ST,Oakland,CA,"600 24TH ST
Oakland, CA
(37.814283, -122.272397)"
,03/04/2020 01:23:00 PM,20-013879,USE OTHERS ID:CREDIT/ETC,17Y,2700 13TH AV,Oakland,CA,"2700 13TH AV
Oakland, CA
(37.798401, -122.235994)"
THREATS,04/12/2020 10:58:00 AM,20-018862,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,31Y,9700 WALTER AV,Oakland,CA,"9700 WALTER AV
Oakland, CA
(37.737468, -122.183216)"
STOLEN VEHICLE,04/27/2020 06:00:00 PM,20-021387,VEHICLE THEFT - AUTO,17Y,2400 12TH AV,Oakland,CA,"2400 12TH AV
Oakland, CA
(37.797446, -122.238414)"
MISDEMEANOR ASSAULT,04/07/2020 07:00:00 PM,20-018198,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,23X,1500 35TH AV,Oakland,CA,"1500 35TH AV
Oakland, CA
(37.777353, -122.222134)"
ROBBERY,03/29/2020 03:34:00 PM,20-016737,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",19X,1100 EMBARCADERO,Oakland,CA,"1100 EMBARCADERO
Oakland, CA
(37.788562, -122.252799)"
DOMESTIC VIOLENCE,04/12/2020 09:30:00 PM,20-018968,FALSE IMPRISONMENT W/VIOLENCE/ETC,02Y,1600 11TH ST,Oakland,CA,"1600 11TH ST
Oakland, CA
(37.809194, -122.295674)"
ROBBERY,02/29/2020 01:30:00 PM,20-011704,BURGLARY-AUTO,26X,400 HIGH ST,Oakland,CA,"400 HIGH ST
Oakland, CA
(37.76593, -122.223338)"
OTHER,04/17/2020 11:30:00 PM,20-019571,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,31Z,300 BERGEDO DR,Oakland,CA,"300 BERGEDO DR
Oakland, CA
(37.727316, -122.175515)"
ROBBERY,04/22/2020 12:05:00 PM,20-020429,VIOLATION PAROLE:FELONY,04X,600 THOMAS L. BERKLEY WY,Oakland,CA,"600 THOMAS L. BERKLEY WY
Oakland, CA
(37.809993, -122.272269)"
GRAND THEFT,03/16/2020 07:00:00 AM,20-908902,GRAND THEFT,13Y,1200 MOUNTAIN BLVD,Oakland,CA,"1200 MOUNTAIN BLVD
Oakland, CA
(37.838458, -122.219314)"
MISDEMEANOR ASSAULT,03/24/2020 04:30:00 PM,20-016033,DISTURB THE PEACE,18Y,2100 E 23RD ST,Oakland,CA,"2100 E 23RD ST
Oakland, CA
(37.791688, -122.232572)"
VANDALISM,03/24/2020 09:52:00 PM,20-016074,"VANDALISM [UNDER $1,000] (AMENDED)",33X,1200 92ND AV,Oakland,CA,"1200 92ND AV
Oakland, CA
(37.746931, -122.177003)"
STOLEN VEHICLE,03/23/2020 06:00:00 PM,20-016295,VEHICLE THEFT - AUTO,04X,1800 JACKSON ST,Oakland,CA,"1800 JACKSON ST
Oakland, CA
(37.80519, -122.263247)"
MISDEMEANOR ASSAULT,04/17/2020 06:17:00 AM,20-019585,BATTERY W/SERIOUS BODILY INJURY,07X,24TH ST & ADELINE ST,Oakland,CA,"24TH ST & ADELINE ST
Oakland, CA
(37.817171, -122.283366)"
BURG - AUTO,04/17/2020 06:00:00 PM,20-908764,BURGLARY-AUTO,77X,MACARTHUR BOULEVARD,Oakland,CA,"MACARTHUR BOULEVARD
Oakland, CA"
DOMESTIC VIOLENCE,04/13/2020 02:10:00 PM,20-019020,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,08X,2800 SUMMIT ST,Oakland,CA,"2800 SUMMIT ST
Oakland, CA
(37.81639, -122.264966)"
GRAND THEFT,04/20/2020 12:00:00 AM,20-908952,THEFT,07X,1000 32ND ST,Oakland,CA,"1000 32ND ST
Oakland, CA
(37.82306, -122.277962)"
OTHER SEX OFFENSES,04/23/2020 07:00:00 PM,20-020655,"ORAL COPULATION WHEN THE ACT IS ACCOMPLISHED AGAINST THE VICTIM�S WILL BY MEANS OF FORCE, VIOLENCE, DURESS, MENACE, OR FEAR OF IMMEDIATE AND UNLAWFUL BODILY INJURY ON THE VICTIM OR ANOTHER PERSON",25Y,7700 MOUNTAIN BLVD,Oakland,CA,"7700 MOUNTAIN BLVD
Oakland, CA
(37.773551, -122.157669)"
MISDEMEANOR ASSAULT,05/01/2020 05:18:00 PM,20-021974,BATTERY,32X,1300 104TH AV,Oakland,CA,"1300 104TH AV
Oakland, CA
(37.73885, -122.169293)"
FORGERY & COUNTERFEITING,03/09/2020 04:42:00 PM,20-013465,VIOLATION OF PROBATION-MISD,06X,2400 MARTIN LUTHER KING JR W,Oakland,CA,"2400 MARTIN LUTHER KING JR W
Oakland, CA"
STOLEN VEHICLE,04/20/2020 08:45:00 PM,20-020155,VEHICLE THEFT - AUTO,16Y,3900 EVERETT AV,Oakland,CA,"3900 EVERETT AV
Oakland, CA
(37.802916, -122.218631)"
MISDEMEANOR ASSAULT,04/23/2020 10:58:00 PM,20-020689,ANYONE WHO WILLFULLY DISCHARGES A FIREARM IN A GROSSLY NEGLIGENT MANNER,77X,15700 SKYLINE BLVD,Oakland,CA,"15700 SKYLINE BLVD
Oakland, CA
(37.769495, -122.128619)"
,03/14/2020 09:15:00 PM,20-014507,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",01X,100 WEBSTER ST,Oakland,CA,"100 WEBSTER ST
Oakland, CA
(37.79469, -122.27421)"
DOMESTIC VIOLENCE,05/13/2020 10:41:00 PM,20-023969,FALSE IMPRISONMENT,02X,800 MANDELA PKWY,Oakland,CA,"800 MANDELA PKWY
Oakland, CA
(37.806117, -122.293095)"
BURG - AUTO,03/03/2020 10:00:00 PM,20-906684,BURGLARY-AUTO,03X,WEBSTER ST & 9TH ST,Oakland,CA,"WEBSTER ST & 9TH ST
Oakland, CA
(37.799945, -122.270933)"
MISDEMEANOR ASSAULT,04/08/2020 06:00:00 AM,20-018244,BATTERY,08X,3000 BROADWAY,Oakland,CA,"3000 BROADWAY
Oakland, CA
(37.818822, -122.262056)"
NARCOTICS,02/28/2020 04:50:00 PM,20-011554,POSSESS/PURCHASE COCAINE BASE FOR SALE,06X,600 SYCAMORE ST,Oakland,CA,"600 SYCAMORE ST
Oakland, CA
(37.815423, -122.270452)"
BURG - AUTO,04/13/2020 02:44:00 AM,20-018964,POSSESS/ETC BURGLARY TOOLS,24Y,2800 HIGH ST,Oakland,CA,"2800 HIGH ST
Oakland, CA
(37.78347, -122.202327)"
DOMESTIC VIOLENCE,04/18/2020 09:30:00 AM,20-019760,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,19X,1400 19TH AV,Oakland,CA,"1400 19TH AV
Oakland, CA
(37.786486, -122.241002)"
MISDEMEANOR ASSAULT,04/10/2020 04:47:00 PM,20-018639,OFFENSIVE WORDS IN PUBLIC PLACE,19X,00 EMBARCADERO COVE,Oakland,CA,"00 EMBARCADERO COVE
Oakland, CA"
PETTY THEFT,04/09/2020 07:30:00 PM,20-018635,THEFT,02Y,300 LEWIS ST,Oakland,CA,"300 LEWIS ST
Oakland, CA
(37.803438, -122.299048)"
,05/12/2020 01:10:00 PM,20-024512,THEFT,08X,500 28TH ST,Oakland,CA,"500 28TH ST
Oakland, CA
(37.817363, -122.26781)"
,04/04/2020 08:30:00 PM,20-018017,VEHICLE THEFT - AUTO,26Y,6200 TEVIS ST,Oakland,CA,"6200 TEVIS ST
Oakland, CA
(37.761319, -122.201052)"
BURG - AUTO,02/18/2020 09:05:00 PM,20-009623,BURGLARY-AUTO,12X,4000 SHAFTER AV,Oakland,CA,"4000 SHAFTER AV
Oakland, CA
(37.828568, -122.259733)"
VANDALISM,02/27/2020 10:00:00 PM,20-906658,VANDALISM,32X,1200 103RD AV,Oakland,CA,"1200 103RD AV
Oakland, CA
(37.738596, -122.171525)"
PETTY THEFT,04/11/2020 09:43:00 AM,20-018761,VIOLATION OF PROBATION-FELONY,23X,ALAMEDA AV & HOWARD ST,Oakland,CA,"ALAMEDA AV & HOWARD ST
Oakland, CA
(37.768181, -122.222436)"
MISDEMEANOR ASSAULT,04/10/2020 05:45:00 PM,20-018622,BATTERY,04X,1900 SAN PABLO AV,Oakland,CA,"1900 SAN PABLO AV
Oakland, CA
(37.809032, -122.27271)"
VANDALISM,03/22/2020 03:00:00 AM,20-015711,VANDALISM-$400+,30X,2000 81ST AV,Oakland,CA,"2000 81ST AV
Oakland, CA
(37.759933, -122.172723)"
DOMESTIC VIOLENCE,03/21/2020 10:18:00 PM,20-015624,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,35X,9400 MACARTHUR BLVD,Oakland,CA,"9400 MACARTHUR BLVD
Oakland, CA
(37.752905, -122.160314)"
ROBBERY,04/06/2020 02:00:00 PM,20-017997,ROBBERY-FIREARM,13Z,2000 MOUNTAIN BLVD,Oakland,CA,"2000 MOUNTAIN BLVD
Oakland, CA
(37.827229, -122.209956)"
WEAPONS,04/05/2020 11:05:00 AM,20-017828,MFG/IMPORT/ETC SHORT BARRELED RIFLE,22X,3500 FRUITVALE AV,Oakland,CA,"3500 FRUITVALE AV
Oakland, CA
(37.800418, -122.216111)"
ROBBERY,03/26/2020 08:55:00 AM,20-016244,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",03X,300 10TH ST,Oakland,CA,"300 10TH ST
Oakland, CA
(37.800161, -122.269343)"
FELONY ASSAULT,03/25/2020 12:30:00 PM,20-016144,EXHIBIT FIREARM,26Y,7400 RUDSDALE ST,Oakland,CA,"7400 RUDSDALE ST
Oakland, CA
(37.757271, -122.188247)"
,04/05/2020 09:00:00 AM,20-018071,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,32Y,2300 99TH AV,Oakland,CA,"2300 99TH AV
Oakland, CA
(37.746422, -122.15917)"
,05/25/2020 04:36:00 PM,20-025873,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,25X,3500 MACARTHUR BLVD,Oakland,CA,"3500 MACARTHUR BLVD
Oakland, CA
(37.793628, -122.200518)"
ROBBERY,04/03/2020 04:00:00 PM,20-017572,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,21Y,3000 MAPLE AV,Oakland,CA,"3000 MAPLE AV
Oakland, CA
(37.791225, -122.210907)"
PETTY THEFT,03/22/2020 10:39:00 AM,20-015672,THEFT,27X,1600 HIGH ST,Oakland,CA,"1600 HIGH ST
Oakland, CA
(37.773599, -122.213189)"
DOMESTIC VIOLENCE,03/22/2020 12:30:00 AM,20-015641,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,30X,7200 INTERNATIONAL BLVD,Oakland,CA,"7200 INTERNATIONAL BLVD
Oakland, CA
(37.759625, -122.187841)"
RECOVERED O/S STOLEN,04/04/2020 09:23:00 AM,20-017667,POSS STOLEN VEH/VES/ETC,02X,1000 8TH ST,Oakland,CA,"1000 8TH ST
Oakland, CA
(37.804078, -122.284485)"
OTHER,05/22/2020 04:44:00 PM,20-025410,SHOOT:INHAB DWELL/VEH/ETC,77X,800 POPLAR WY,Oakland,CA,"800 POPLAR WY
Oakland, CA
(37.805653, -122.291296)"
BURG - AUTO,03/15/2020 10:00:00 PM,20-907289,BURGLARY-AUTO,02X,10TH ST & POPLAR ST,Oakland,CA,"10TH ST & POPLAR ST
Oakland, CA
(37.807347, -122.290318)"
BURG - AUTO,03/21/2020 12:55:00 PM,20-015552,BURGLARY-AUTO,19X,700 INTERNATIONAL BLVD,Oakland,CA,"700 INTERNATIONAL BLVD
Oakland, CA
(37.794281, -122.252182)"
VANDALISM,03/02/2020 06:00:00 PM,20-906632,VANDALISM,20X,1600 FRUITVALE AV,Oakland,CA,"1600 FRUITVALE AV
Oakland, CA
(37.780305, -122.22449)"
ARSON,05/23/2020 11:00:00 AM,20-025558,VANDALISM-$400,21X,2700 26TH AV,Oakland,CA,"2700 26TH AV
Oakland, CA
(37.791478, -122.222243)"
DOMESTIC VIOLENCE,03/21/2020 12:16:00 PM,20-015568,DEPRIVE RIGHT OF CUSTODY/VISITATION,17Y,1400 E 32ND ST,Oakland,CA,"1400 E 32ND ST
Oakland, CA
(37.799997, -122.231124)"
RECOVERED O/S STOLEN,04/04/2020 08:54:00 AM,20-017664,POSS STOLEN VEH/VES/ETC,26Y,8000 B ST,Oakland,CA,"8000 B ST
Oakland, CA
(37.755347, -122.183765)"
PROSTITUTION,05/02/2020 10:00:00 PM,20-022157,LOITER:INTENT:PROSTITUTION,19X,800 INTERNATIONAL BLVD,Oakland,CA,"800 INTERNATIONAL BLVD
Oakland, CA
(37.793547, -122.251349)"
WEAPONS,04/03/2020 03:20:00 AM,20-017490,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,29X,2900 68TH AV,Oakland,CA,"2900 68TH AV
Oakland, CA
(37.769939, -122.177355)"
OTHER,04/03/2020 09:38:00 PM,20-017641,CONTEMPT OF COURT:DISOBEY COURT ORDER/PROCESS (AMENDED),31Y,9400 EMPIRE RD,Oakland,CA,"9400 EMPIRE RD
Oakland, CA
(37.734359, -122.194939)"
ROBBERY,04/13/2020 10:41:00 AM,20-019008,VIOLATION PAROLE:FELONY,07X,3100 SAN PABLO AV,Oakland,CA,"3100 SAN PABLO AV
Oakland, CA
(37.82161, -122.276767)"
FRAUD,01/22/2020 12:00:00 AM,20-905630,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,25X,4500 MERRILL AV,Oakland,CA,"4500 MERRILL AV
Oakland, CA
(37.786711, -122.191101)"
MISDEMEANOR ASSAULT,04/18/2020 02:20:00 PM,20-908797,ASSAULT,30X,1400 66TH AV,Oakland,CA,"1400 66TH AV
Oakland, CA
(37.76235, -122.193699)"
ROBBERY,04/10/2020 10:40:00 PM,20-018519,CARJACKING WITH KNIFE,32X,1300 98TH AV,Oakland,CA,"1300 98TH AV
Oakland, CA
(37.743637, -122.172054)"
MISDEMEANOR ASSAULT,04/12/2020 11:30:00 PM,20-019305,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,06X,3200 MARKET ST,Oakland,CA,"3200 MARKET ST
Oakland, CA
(37.822389, -122.275989)"
MISDEMEANOR ASSAULT,04/20/2020 02:47:00 PM,20-020107,ASSAULT,10Y,4500 MARTIN LUTHER KING JR W,Oakland,CA,"4500 MARTIN LUTHER KING JR W
Oakland, CA"
THREATS,04/03/2020 04:10:00 PM,20-017575,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,14X,2300 HARRISON ST,Oakland,CA,"2300 HARRISON ST
Oakland, CA
(37.811434, -122.262063)"
PROSTITUTION,05/04/2020 09:53:00 PM,20-022457,LOITER:INTENT:PROSTITUTION,19X,1700 INTERNATIONAL BLVD,Oakland,CA,"1700 INTERNATIONAL BLVD
Oakland, CA
(37.787566, -122.242897)"
DUI,05/17/2020 01:15:00 AM,20-024460,DUI ALCOHOL/DRUGS,20X,2600 E 9TH ST,Oakland,CA,"2600 E 9TH ST
Oakland, CA
(37.777921, -122.235898)"
DOMESTIC VIOLENCE,05/13/2020 10:41:00 PM,20-023969,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,02X,800 MANDELA PKWY,Oakland,CA,"800 MANDELA PKWY
Oakland, CA
(37.806117, -122.293095)"
OTHER,04/23/2020 07:46:00 PM,20-020669,ADW NOT F/ARM:PO/FIRE:GBI,07X,2700 MARKET ST,Oakland,CA,"2700 MARKET ST
Oakland, CA
(37.818349, -122.277242)"
MISDEMEANOR ASSAULT,03/17/2020 04:14:00 PM,20-014957,BATTERY,19X,1800 EMBARCADERO,Oakland,CA,"1800 EMBARCADERO
Oakland, CA
(37.785052, -122.244329)"
PETTY THEFT,02/05/2020 12:00:00 AM,20-007319,THEFT,31Y,8300 EDES AV,Oakland,CA,"8300 EDES AV
Oakland, CA
(37.744722, -122.195953)"
DOMESTIC VIOLENCE,04/16/2020 06:45:00 PM,20-019537,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,30X,7300 LOCKWOOD ST,Oakland,CA,"7300 LOCKWOOD ST
Oakland, CA
(37.762725, -122.180956)"
PETTY THEFT,04/07/2020 10:20:00 AM,20-908176,MAIL/ETC THEFT/ETC,09X,100 W MACARTHUR BLVD,Oakland,CA,"100 W MACARTHUR BLVD
Oakland, CA
(37.821028, -122.254405)"
,03/13/2020 11:00:00 PM,20-014415,VEHICLE THEFT - AUTO,02X,1100 12TH ST,Oakland,CA,"1100 12TH ST
Oakland, CA
(37.807907, -122.2858)"
MISDEMEANOR ASSAULT,04/28/2020 03:35:00 PM,20-021459,BATTERY,23X,3400 E 12TH ST,Oakland,CA,"3400 E 12TH ST
Oakland, CA
(37.776022, -122.224006)"
,06/01/2014 07:00:00 PM,20-013416,CONSPIRACY:COMMIT CRIME,21X,2400 E 24TH ST,Oakland,CA,"2400 E 24TH ST
Oakland, CA
(37.789528, -122.227257)"
BURG - AUTO,03/10/2020 02:49:00 AM,20-013919,BURGLARY-AUTO,29X,5700 FOOTHILL BLVD,Oakland,CA,"5700 FOOTHILL BLVD
Oakland, CA
(37.772144, -122.19346)"
FORGERY & COUNTERFEITING,03/10/2020 12:00:00 PM,20-908752,MAKE/PASS FICTITIOUS CHECK,31Z,400 105TH AV,Oakland,CA,"400 105TH AV
Oakland, CA
(37.729393, -122.180566)"
STOLEN VEHICLE,03/28/2020 04:30:00 PM,20-016592,VEHICLE THEFT - AUTO,10Y,800 STANFORD AV,Oakland,CA,"800 STANFORD AV
Oakland, CA
(37.846191, -122.273019)"
THREATS,04/13/2020 11:52:00 AM,20-019033,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,16Y,3600 BRUCE ST,Oakland,CA,"3600 BRUCE ST
Oakland, CA
(37.802491, -122.228872)"
BURG - AUTO,03/06/2020 08:00:00 PM,20-906648,BURGLARY-AUTO,11X,500 52ND ST,Oakland,CA,"500 52ND ST
Oakland, CA
(37.837994, -122.2622)"
DOMESTIC VIOLENCE,03/21/2020 10:18:00 PM,20-015624,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,35X,9400 MACARTHUR BLVD,Oakland,CA,"9400 MACARTHUR BLVD
Oakland, CA
(37.752905, -122.160314)"
ROBBERY,04/03/2020 04:00:00 PM,20-017572,ROBBERY-OTHER DANGEROUS WEAPON,21Y,3000 MAPLE AV,Oakland,CA,"3000 MAPLE AV
Oakland, CA
(37.791225, -122.210907)"
GRAND THEFT,03/21/2020 11:30:00 AM,20-015604,THEFT,15X,100 ATHOL AV,Oakland,CA,"100 ATHOL AV
Oakland, CA
(37.800953, -122.253108)"
VANDALISM,03/28/2020 03:30:00 PM,20-016588,CONTEMPT OF COURT:DISOBEY COURT ORDER/PROCESS (AMENDED),30Y,2900 76TH AV,Oakland,CA,"2900 76TH AV
Oakland, CA
(37.768504, -122.168698)"
PETTY THEFT,02/15/2020 07:35:00 AM,20-008940,THEFT,02X,1100 10TH ST,Oakland,CA,"1100 10TH ST
Oakland, CA
(37.806388, -122.286105)"
MISDEMEANOR ASSAULT,04/12/2020 02:15:00 PM,20-018891,BATTERY,24X,4000 FOOTHILL BLVD,Oakland,CA,"4000 FOOTHILL BLVD
Oakland, CA
(37.777674, -122.215178)"
VANDALISM,03/23/2020 12:55:00 AM,20-908759,VANDALISM,22Y,2800 CARMEL ST,Oakland,CA,"2800 CARMEL ST
Oakland, CA
(37.802261, -122.204901)"
VANDALISM,04/05/2020 12:50:00 PM,20-909168,VANDALISM,27X,2400 MONTICELLO AV,Oakland,CA,"2400 MONTICELLO AV
Oakland, CA
(37.777015, -122.201399)"
BURG - AUTO,04/10/2020 03:00:00 AM,20-908771,BURGLARY-AUTO,29X,7300 CIRCLE HILL DR,Oakland,CA,"7300 CIRCLE HILL DR
Oakland, CA
(37.774144, -122.165075)"
STOLEN VEHICLE,03/19/2020 09:54:00 AM,20-015212,VEHICLE THEFT - AUTO,30Y,7700 HILLSIDE ST,Oakland,CA,"7700 HILLSIDE ST
Oakland, CA
(37.765937, -122.171044)"
OTHER,04/14/2020 10:00:00 AM,20-019166,CONTEMPT OF COURT:VIOLATE PROTECTIVE ORDER/ETC,07X,2500 FILBERT ST,Oakland,CA,"2500 FILBERT ST
Oakland, CA
(37.817244, -122.279929)"
GRAND THEFT,04/18/2020 10:00:00 PM,20-908816,GRAND THEFT,24Y,3300 VIOLA ST,Oakland,CA,"3300 VIOLA ST
Oakland, CA
(37.789655, -122.202619)"
BURG - AUTO,04/18/2020 11:50:00 AM,20-908786,BURGLARY-AUTO,14X,300 GRAND AV,Oakland,CA,"300 GRAND AV
Oakland, CA
(37.809029, -122.256834)"
GRAND THEFT,03/20/2020 08:00:00 PM,20-016053,GRAND THEFT,06X,3700 WEST ST,Oakland,CA,"3700 WEST ST
Oakland, CA
(37.826793, -122.271857)"
,05/26/2020 09:00:00 PM,20-910880,BURGLARY-AUTO,,JACK LONDON SQUARE,Oakland,CA,"JACK LONDON SQUARE
Oakland, CA"
STOLEN VEHICLE,04/10/2020 04:51:00 PM,20-018613,VEHICLE THEFT - AUTO,07X,1700 24TH ST,Oakland,CA,"1700 24TH ST
Oakland, CA
(37.819563, -122.290915)"
BURG - COMMERCIAL,04/08/2020 02:30:00 AM,20-018263,BURGLARY-FORCIBLE ENTRY,26X,4500 SAN LEANDRO ST,Oakland,CA,"4500 SAN LEANDRO ST
Oakland, CA
(37.769032, -122.215188)"
BURG - AUTO,04/20/2020 01:23:00 AM,20-909172,BURGLARY-AUTO,19X,200 E 12TH ST,Oakland,CA,"200 E 12TH ST
Oakland, CA
(37.797265, -122.257298)"
BURG - AUTO,03/09/2020 12:30:00 AM,20-906858,BURGLARY-AUTO,21Y,2200 COOLIDGE AV,Oakland,CA,"2200 COOLIDGE AV
Oakland, CA
(37.784323, -122.220477)"
